EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1618271670.700895,1566829.000,17729,1,T0,1,100,34.242
1618271670.832979,1566957.000,17748,1,T0,1,100,34.210
1618271670.965064,1567085.000,17766,1,T0,1,100,34.200
1618271671.099212,1567215.000,17785,1,T0,1,100,34.242
1618271671.230264,1567342.000,17819,1,T0,1,100,34.232
1618271671.364412,1567472.000,17837,1,T0,1,100,34.237
1618271671.496496,1567600.000,17856,1,T0,1,100,34.264
1618271671.629613,1567729.000,17891,1,T0,1,100,34.232
1618271671.763761,1567859.000,17909,1,T0,1,100,34.194
1618271671.897909,1567989.000,17928,1,T0,1,100,34.275
1618271672.032057,1568119.000,17946,1,T0,1,100,34.242
1618271672.163109,1568246.000,17980,1,T0,1,100,34.275
1618271672.297257,1568376.000,17999,1,T0,1,100,34.232
1618271672.429857,1568504.500,18022,2,T0,1,100,34.280
1618271672.562458,1568633.000,18022,2,T0,1,100,34.232
1618271672.695574,1568762.000,18041,1,T0,1,100,34.248
1618271672.827658,1568890.000,18076,1,T0,1,100,34.226
1618271672.962838,1569021.000,18095,1,T0,1,100,34.216
1618271673.093890,1569148.000,18113,1,T0,1,100,34.253
1618271673.228039,1569278.000,18147,1,T0,1,100,34.242
1618271673.362187,1569408.000,18166,1,T0,1,100,34.221
1618271673.495303,1569537.000,18184,1,T0,1,100,34.275
1618271673.628419,1569666.000,18203,1,T0,1,100,34.291
1618271673.761535,1569795.000,18238,1,T0,1,100,34.237
1618271673.894651,1569924.000,18256,1,T0,1,100,34.248
1618271674.027767,1570053.000,18275,1,T0,1,100,34.200
1618271674.160884,1570182.000,18310,1,T0,1,100,34.226
1618271674.294000,1570311.000,18327,1,T0,1,100,34.275
